yıl;ay;kart_tipi;kart_kullanim_sayisi
2020;eylul;GÖRME ENGELLİ;880
2020;eylul;GÖRME ENGELLİ REFAKATLİ;533
2020;eylul;İNDİRİMLİ;910639
2020;eylul;KAMU;1506
2020;eylul;MUHTAR;309
2020;eylul;SOSYAL KART;32558
2020;eylul;TAM ABONMAN;199216
2020;eylul;TAM KART;1445481
2020;ekim;65 YAŞ ÜSTÜ;66779
2020;ekim;DİĞER;214335
2020;ekim;BASIN;3270
2020;ekim;ENGELLİ;6659
2020;ekim;ENGELLİ REFAKATLİ;245
2020;ekim;GÖRME ENGELLİ;1068
2020;ekim;GÖRME ENGELLİ REFAKATLİ;506
2020;ekim;İNDİRİMLİ;1241878
2020;ekim;KAMU;1425
2020;ekim;MUHTAR;346
2020;ekim;SOSYAL KART;37106
2020;ekim;TAM ABONMAN;219660
2020;ekim;TAM KART;1669483
2020;kasim;65 YAŞ ÜSTÜ;62217
2020;kasim;DİĞER;208385
2020;kasim;BASIN;3364
2020;kasim;ENGELLİ;11616
2020;kasim;ENGELLİ REFAKATLİ;1085
2020;kasim;GÖRME ENGELLİ;1148
2020;kasim;GÖRME ENGELLİ REFAKATLİ;499
2020;kasim;İNDİRİMLİ;1109225
2020;kasim;KAMU;1536
2020;kasim;MUHTAR;366
2020;kasim;SOSYAL KART;32290
2020;kasim;TAM ABONMAN;208420
2020;kasim;TAM KART;1460913
2020;aralik;65 YAŞ ÜSTÜ;19230
2020;aralik;DİĞER;182867
2020;aralik;BASIN;3073
2020;aralik;ENGELLİ;63307
2020;aralik;ENGELLİ REFAKATLİ;8950
2020;aralik;GÖRME ENGELLİ;845
2020;aralik;GÖRME ENGELLİ REFAKATLİ;422
2020;aralik;İNDİRİMLİ;432358
2020;aralik;KAMU;1607
2020;aralik;MUHTAR;298
2020;aralik;SOSYAL KART;24881
2020;aralik;TAM ABONMAN;184532
2020;aralik;TAM KART;997215
2021;ocak;65 YAŞ ÜSTÜ;27532
2021;ocak;DİĞER;173681
2021;ocak;BASIN;2997
2021;ocak;ENGELLİ;76496
2021;ocak;ENGELLİ REFAKATLİ;11214
2021;ocak;GÖRME ENGELLİ;873
2021;ocak;GÖRME ENGELLİ REFAKATLİ;524
2021;ocak;İNDİRİMLİ;481636
2021;ocak;KAMU;860
2021;ocak;MUHTAR;224
2021;ocak;SOSYAL KART;24029
2021;ocak;TAM ABONMAN;170998
2021;ocak;TAM KART;1017286
2021;subat;65 YAŞ ÜSTÜ;37330
2021;subat;DİĞER;178139
2021;subat;BASIN;2992
2021;subat;ENGELLİ;82680
2021;subat;ENGELLİ REFAKATLİ;12247
2021;subat;GÖRME ENGELLİ;829
2021;subat;GÖRME ENGELLİ REFAKATLİ;476
2021;subat;İNDİRİMLİ;688836
2021;subat;KAMU;1388
2021;subat;MUHTAR;233
2021;subat;SOSYAL KART;26410
2021;subat;TAM ABONMAN;174165
2021;subat;TAM KART;1098850
2021;mart;65 YAŞ ÜSTÜ;66179
2021;mart;DİĞER;210887
2021;mart;BASIN;3617
2021;mart;ENGELLİ;107116
2021;mart;ENGELLİ REFAKATLİ;17091
2021;mart;GÖRME ENGELLİ;1157
2021;mart;GÖRME ENGELLİ REFAKATLİ;606
2021;mart;İNDİRİMLİ;1288297
2021;mart;KAMU;1750
2021;mart;MUHTAR;328
2021;mart;SOSYAL KART;31368
2021;mart;TAM ABONMAN;215735
2021;mart;TAM KART;1431508
2021;nisan;65 YAŞ ÜSTÜ;47705
2021;nisan;DİĞER;160607
2021;nisan;BASIN;2636
2021;nisan;ENGELLİ;84874
2021;nisan;ENGELLİ REFAKATLİ;13879
2021;nisan;GÖRME ENGELLİ;818
2021;nisan;GÖRME ENGELLİ REFAKATLİ;293
2021;nisan;İNDİRİMLİ;831796
